Track Name,Artist Name(s),Album Name,Popularity,Energy,Tempo
Justified & Ancient - Stand by the Jams,The KLF,Songs Collection,0,0.872,111.458
I Know You Want Me (Calle Ocho),Pitbull,Pitbull Starring In Rebelution,64,0.743,127.045
From the Bottom of My Broken Heart,Britney Spears,...Baby One More Time (Digital Deluxe Version),56,0.665,74.981
Apeman - 2014 Remastered Version,The Kinks,"Lola vs. Powerman and the Moneygoround, Pt. One + Percy (Super Deluxe)",42,0.728,75.311
You Can't Always Get What You Want,The Rolling Stones,Let It Bleed,0,0.627,85.818
Don't Stop - 2004 Remaster,Fleetwood Mac,Rumours,79,0.71,118.745
Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),78,0.68,89.391
Something About The Way You Look Tonight - Edit Version,Elton John,Candle In The Wind 1997 / Something About ...,61,0.628,143.412
Juke Box Hero,Foreigner,4 (Expanded),74,0.653,176.647
Mercy,Shawn Mendes,Illuminate (Deluxe),0,0.681,148.064
It's Like That,"Run–D.M.C., Jason Nevins",The Greatest Hits,68,0.874,129.029
Here Without You,3 Doors Down,Away From The Sun,80,0.533,143.994
Listen to the Band - Single Version,The Monkees,The Best of The Monkees,31,0.659,184.38
With A Little Luck - Remastered 1993,Wings,London Town,0,0.372,111.984
Sing,Ed Sheeran,x (Deluxe Edition),73,0.67,119.988
Mississippi,Pussycat,First Of All,58,0.731,123.332
Flava,Nathaniel,Yours,5,0.754,112.962
Baby Sittin' Boogie - Radio Version,Buzz Clifford,Rock & Roll 50s & 60s Mix,6,0.533,140.11
Dr. Love,Tina Charles,Dance Little Lady,15,0.563,102.021
Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),"Glee Cast, Gwyneth Paltrow",Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),0,0.416,145.922
I'm Free,"The Soup Dragons, Junior Reid",20 Golden Greats,0,0.936,103.272
"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,Writing's On The Wall,68,0.302,81.418
If You Can't Give Me Love - 2017 Remaster,Suzi Quatro,If You Knew Suzi… (2017 Remaster),0,0.66,133.867
Take Yourself Home,Troye Sivan,Take Yourself Home,0,0.606,99.73
Give It Up,KC & The Sunshine Band,All In a Night's Work (Expanded Version),73,0.624,124.896
Homecoming,Hey Monday,Hold On Tight,47,0.958,150.074
Funhouse - Main Version - Clean,P!nk,La Guestlist,24,0.84,103.957
Dangerous Woman,Ariana Grande,Dangerous Woman,0,0.604,134.052
Abergavenny,Marty Wilde,The Full Marty,33,0.895,123.102
That's All You Gotta Do,Brenda Lee,"Ultimate Collection, Vol. 1",9,0.65,98.137
Its Alright,Deni Hines,Delicious,44,0.88,103.395
Metal Guru,T. Rex,The Slider,50,0.95,127.895
Heaven Is A Place On Earth,Belinda Carlisle,Greatest Vol.1 - Belinda Carlisle,74,0.852,122.902
Paper In Fire,John Mellencamp,The Lonesome Jubilee (Remastered),0,0.905,141.985
Wrecking Ball,Miley Cyrus,Wrecking Ball,0,0.403,119.81
Deep End,Birdy,Beautiful Lies (Deluxe),35,0.296,171.744
Stay The Night - Featuring Hayley Williams Of Paramore,"Zedd, Hayley Williams",Clarity (Deluxe),67,0.738,127.961
Californication,Red Hot Chili Peppers,Californication,63,0.767,96.483
We Will Rock You - Remastered 2011,Queen,News Of The World (2011 Remaster),82,0.497,81.308
My Island Home,Warumpi Band,Go Bush!,47,0.364,79.707
7 Days,Craig David,Born to Do It,74,0.812,83.014
Shoop Shoop Diddy Wop Cumma Cumma Wang Dang,Monte Video,Monte Video,28,0.695,181.337
Regardless,"Jarryd James, Julia Stone",Thirty One,30,0.393,130.086
Convoy,C.W. McCall,C.W. McCall's Greatest Hits,64,0.543,111.62
Pretty Flamingo,Manfred Mann,Pretty Flamingo,0,0.594,113.506
You Know I'm No Good,Amy Winehouse,Back To Black,0,0.806,103.383
Turn Around (feat. Ne-Yo),"Conor Maynard, Ne-Yo",Turn Around (feat. Ne-Yo),31,0.874,125.018
Morning After Dark (Featuring Nelly Furtado & SoShy),Timbaland,Shock Value II (International Deluxe version),0,0.927,118.039
Somebody That I Used To Know,"Gotye, Kimbra",Making Mirrors,67,0.515,129.048
Matthew & Son - Stereo Version,Yusuf / Cat Stevens,Matthew & Son,0,0.327,139.867
Heaven & Hell - US Single Version,The Easybeats,Friday On My Mind,11,0.676,116.418
You Are The Sunshine Of My Life,Stevie Wonder,Number 1's,0,0.574,131.892
Too Good At Goodbyes,Sam Smith,The Thrill Of It All (Special Edition),87,0.372,91.873
You're the One,Petula Clark,The Classic Collection,22,0.721,136.892
We Made You,Eminem,Relapse: Refill,66,0.853,114.003
Round Round,Sugababes,Angels With Dirty Faces (International version),0,0.859,126.587
Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",Juju on That Beat (TZ Anthem),61,0.887,160.517
Poker Face,Lady Gaga,The Fame,0,0.806,119.001
It Must Be Love,Madness,7,58,0.606,146.425
The Wild Colonial Boy,Dr. Hook,Timeless,19,0.312,158.27
You Talk Too Much,Joe Jones,You Talk Too Much - The Best Of,13,0.639,128.272
Can't Get Enough Of You Baby,Smash Mouth,All Star Smash Hits,0,0.891,123.728
One In A Million,"Jordie Ireland, Ava Hayz",One In A Million,27,0.551,104.175
Life Is A Highway,Tom Cochrane,Mad Mad World,65,0.751,103.036
IDGAF,Dua Lipa,Dua Lipa (Deluxe),83,0.544,97.028
As Long as You Love Me,Backstreet Boys,Backstreet's Back,0,0.801,98.12
Come & Get It,Selena Gomez,Stars Dance,0,0.795,148.985
Temperature,Sean Paul,The Trinity,84,0.6,125.04
Philadelphia Freedom,Elton John,Captain Fantastic (Deluxe Edition),0,0.626,125.199
Who Dat Girl (feat. Akon),"Flo Rida, Akon",Only One Flo (Part 1),60,0.616,124.963
True Colours,Kasey Chambers,Storybook,0,0.247,86.952
Set Adrift On Memory Bliss,P.M. Dawn,Let It Flow,52,0.784,99.773
Don't You Worry Child,"Swedish House Mafia, John Martin",Until Now,65,0.88,129.007
Colors Of The Wind - End Title,Vanessa Williams,Pocahontas Original Soundtrack (English Version),54,0.238,84.018
Beneath Your Beautiful (feat. Emeli Sandé),"Labrinth, Emeli Sandé",Electronic Earth (Expanded Edition),72,0.522,83.962
Wouldn't It Be Nice,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix),73,0.629,124.511
Together,Sia,Together,64,0.877,180.007
